code,year,habitatloss,co2emission
CHE,2017,2542.414851,1399503.018
CHL,2017,214837.4809,75521253.85
CHN,2017,644239.3396,278232879.1
CIV,2017,357273.0222,190528917.6
CMR,2017,187281.052,110190784.4
COD,2017,1467956.658,927558507.5
COG,2017,63874.77359,39040921.05
COL,2017,424870.2839,241435046.4
COM,2017,307.943215,146993.1918
CRI,2017,22095.55522,12174071.25
CUB,2017,76813.80059,33128426.18
CUW,2017,0.8274102559,217.8808856
CYM,2017,73.62158437,20125.92326
CYP,2017,437.2696528,75347.67067
CZE,2017,26511.92283,14359960.62
DEU,2017,33000.27868,17453798.93
DMA,2017,23291.20987,14172552.81
DNK,2017,4360.353966,1546751.904
DOM,2017,27062.92509,12724942.94
DZA,2017,45978.5551,15856803.34
ECU,2017,71107.7558,49243300.82
EGY,2017,58.43038359,12092.20416
ESP,2017,98458.97696,37555323.35
EST,2017,38856.65723,12385571.77
ETH,2017,35403.50583,16643507.84
FIN,2017,336198.6682,73471648.11
FJI,2017,3091.618999,1784706.442
FRA,2017,69249.04325,34349375.69
GAB,2017,38643.85552,24859364.57
GBR,2017,23041.72585,10508144.03
GEO,2017,207.8981654,85760.95012
GHA,2017,115285.965,64762214.57
GIN,2017,231588.0209,103824625.2
GLP,2017,60.45295036,26133.34635
GMB,2017,8.093337744,2659.565262
GNB,2017,16436.50458,6836618.35
GNQ,2017,11937.94593,8036727.756
GRC,2017,8906.940785,1972879.342
GRD,2017,28.15271755,13100.25281
GTM,2017,79731.60582,39373541.13
GUF,2017,4144.336965,3095115.83
GUY,2017,19433.66403,13095674.17
HKG,2017,91.72549676,36305.41962
HND,2017,113473.7329,55837269.16
HRV,2017,5846.534456,2693654.288
HTI,2017,5498.831192,2514838.127
HUN,2017,14108.81691,5562004.917
IDN,2017,1300719.376,793309720
IMN,2017,18.11718344,6876.778272
IND,2017,189420.9659,96776062.85
IRL,2017,6128.753456,2980366.553
IRN,2017,109.9140751,29938.13599
IRQ,2017,0.983445182,221.6864764
ISR,2017,99.54904099,26553.62807
ITA,2017,34095.34985,10863901.44
JAM,2017,2200.054601,1126079.181
JEY,2017,1.468310967,520.6104613
JOR,2017,0.9805254551,232.2886659
JPN,2017,47612.4598,23450368.75
KAZ,2017,975.1769846,360631.7225
KEN,2017,22163.38815,12529113.48
KGZ,2017,55.75207341,21796.07669
KHM,2017,118333.2675,71119101.54
KNA,2017,3.678442645,1436.012174
KOR,2017,20758.71222,7489654.058
LAO,2017,349136.6257,178722316.4
LBN,2017,288.2091885,85929.73409
LBR,2017,203292.0351,112882562.7
LBY,2017,10.45294938,2499.922576
LCA,2017,83.5570397,44803.44741
LIE,2017,4.057775238,2517.544474
LKA,2017,13066.09839,5342897.14
LSO,2017,7.805554621,1785.491756
LTU,2017,25803.69264,9349102.15
LUX,2017,412.6665366,242927.0179
LVA,2017,47085.22204,16289165.22
MAC,2017,3.998465319,6.201753134
MAF,2017,4.174208933,1135.710093
MAR,2017,2366.567119,704781.6222
MDA,2017,1092.37954,346073.1137
MDG,2017,510356.8561,255132883.7
MEX,2017,298787.5381,131507360
MKD,2017,1144.614197,513049.7981
MLI,2017,331.9850058,115830.8911
MLT,2017,0.1251926625,31.53382077
MMR,2017,341844.6955,186337319.6
MNE,2017,1268.97162,393549.8852
MNG,2017,25238.39889,3877574.866
MOZ,2017,359011.1368,133974487.8
MSR,2017,0.1475148368,86.95163646
MTQ,2017,115.6933339,53117.25303
MWI,2017,15307.69408,6070723.869
MYS,2017,483416.1086,253324384.5
MYT,2017,44.36385522,21497.78948
NAM,2017,1.833584392,811.1253892
NCL,2017,1159.780569,521473.0769
NGA,2017,171045.4466,99388720.65
NIC,2017,211681.2541,118290844.8
NLD,2017,1333.202916,615433.3753
NOR,2017,57916.60368,15296330.1
NPL,2017,2394.083932,1455259.59
NZL,2017,74883.5155,51337618.7
PAK,2017,190.2467412,61239.37778
PAN,2017,30878.79188,17272352.08
PER,2017,303280.5197,185724876.4
PHL,2017,114280.5978,66946402.97
PNG,2017,117509.2545,87422964.35
POL,2017,96251.7538,39532774.07
PRI,2017,56205.35066,33146163.02
PRK,2017,8522.738368,3089803.438
PRT,2017,173894.8079,40958824
PRY,2017,360058.4073,100843195.8
PSE,2017,1.702968781,377.5243024
